configuration,action,pair,peak time seconds,triangle pairs,crossing frames,span x,span y,span z
normal,Write,left.forearm / body,6.066666666666666,439,164,0.4269648492336273,0.27831435203552246,0.1871197521686554
normal,Write,left.forearm / write.pad,2.775,23,82,0.05689939111471176,0.03382256627082825,0.059633612632751465
normal,Write,left.hand / body,0.2,1494,594,0.33783483505249023,0.29340851306915283,0.17817074060440063
normal,Write,left.hand / right.hand,6.916666666666667,670,71,0.09502959996461868,0.24881599843502045,0.13670244812965393
normal,Write,left.hand / write.pad,1.1666666666666667,832,436,0.1707131564617157,0.24587683379650116,0.08436194062232971
normal,Write,left.hand / write.pencil,0.7416666666666667,318,688,0.1163398027420044,0.19653695821762085,0.0887349396944046
normal,Write,left.upper-arm / body,5.891666666666667,330,494,0.14652119576931,0.3670074939727783,0.2658846378326416
normal,Write,right.forearm / write.pad,0.7333333333333333,324,51,0.3577834963798523,0.2295820564031601,0.08524017035961151
normal,Write,right.hand / body,6.85,1047,79,0.2880008816719055,0.28236067295074463,0.16833162307739258
normal,Write,right.hand / write.pad,0.7166666666666667,92,98,0.042598068714141846,0.2601156532764435,0.04733312129974365
normal,Write,right.upper-arm / body,6.708333333333333,52,19,0.031825751066207886,0.038421809673309326,0.07809214293956757
normal,Write Pause,left.forearm / body,3.966666666666667,430,164,0.4280812740325928,0.2813979983329773,0.1863432228565216
normal,Write Pause,left.hand / body,0.2,1494,402,0.33783483505249023,0.29340851306915283,0.17817074060440063
normal,Write Pause,left.hand / right.hand,4.816666666666666,670,71,0.09503001719713211,0.24881592392921448,0.13670280575752258
normal,Write Pause,left.hand / write.pad,1.1666666666666667,832,157,0.1707131564617157,0.24587683379650116,0.08436194062232971
normal,Write Pause,left.hand / write.pencil,0.7416666666666667,318,436,0.1163398027420044,0.19653695821762085,0.0887349396944046
normal,Write Pause,left.upper-arm / body,0.9666666666666667,328,240,0.14966383576393127,0.3692876994609833,0.25443822145462036
normal,Write Pause,right.forearm / write.pad,0.7333333333333333,324,51,0.3577834963798523,0.2295820564031601,0.08524017035961151
normal,Write Pause,right.hand / body,4.75,1049,79,0.28844285011291504,0.28239208459854126,0.1684906929731369
normal,Write Pause,right.hand / write.pad,0.7166666666666667,92,98,0.042598068714141846,0.2601156532764435,0.04733312129974365
normal,Write Pause,right.upper-arm / body,4.608333333333333,51,19,0.031941503286361694,0.038433343172073364,0.07829193025827408
normal,Write Once,left.forearm / body,5.416666666666667,437,164,0.42649757862091064,0.2771126329898834,0.1874718815088272
normal,Write Once,left.forearm / write.pad,2.95,23,34,0.055935248732566833,0.033407628536224365,0.05909234285354614
normal,Write Once,left.hand / body,0.2,1494,500,0.33783483505249023,0.29340851306915283,0.17817074060440063
normal,Write Once,left.hand / right.hand,6.266666666666667,670,71,0.09502968937158585,0.24881583452224731,0.13670238852500916
normal,Write Once,left.hand / write.pad,1.1666666666666667,832,268,0.1707131564617157,0.24587683379650116,0.08436194062232971
normal,Write Once,left.hand / write.pencil,0.7416666666666667,318,610,0.1163398027420044,0.19653695821762085,0.0887349396944046
normal,Write Once,left.upper-arm / body,5.241666666666666,331,342,0.14648033678531647,0.3669617176055908,0.26620814204216003
normal,Write Once,right.forearm / write.pad,0.7333333333333333,324,51,0.3577834963798523,0.2295820564031601,0.08524017035961151
normal,Write Once,right.hand / body,6.191666666666666,1050,79,0.28680431842803955,0.27733975648880005,0.17357054352760315
normal,Write Once,right.hand / write.pad,0.7166666666666667,92,99,0.042598068714141846,0.2601156532764435,0.04733312129974365
